Bin Id	MAG
metabat2_refined_bins.tsv.003	MAG14001
metabat2_refined_bins.tsv.004_sub	MAG14002
metabat2_refined_bins.tsv.006	MAG14003
metabat2_refined_bins.tsv.010	MAG14004
metabat2_refined_bins.tsv.011	MAG14005
metabat2_refined_bins.tsv.013	MAG14006
metabat2_refined_bins.tsv.015	MAG14007
metabat2_refined_bins.tsv.016	MAG14008
metabat2_refined_bins.tsv.018	MAG14009
metabat2_refined_bins.tsv.019	MAG14010
metabat2_refined_bins.tsv.021	MAG14011
metabat2_refined_bins.tsv.023	MAG14012
metabat_sens_bins.tsv.004_sub	MAG14013
metabat_sens_bins.tsv.006_sub	MAG14014
metabat_sens_bins.tsv.007_sub	MAG14015
rosella_refined_bins.tsv.003_sub	MAG14016
rosella_refined_bins.tsv.006	MAG14017
rosella_refined_bins.tsv.026	MAG14018
rosella_refined_bins.tsv.030_sub	MAG14019
semibin_refined_bins.tsv.007	MAG14020
semibin_refined_bins.tsv.013_sub	MAG14021
semibin_refined_bins.tsv.015	MAG14022
semibin_refined_bins.tsv.017_sub	MAG14023
