Bin Id	MAG
metabat2_refined_bins.tsv.002	MAG101
metabat2_refined_bins.tsv.006	MAG102
metabat2_refined_bins.tsv.008	MAG103
metabat2_refined_bins.tsv.010	MAG104
metabat2_refined_bins.tsv.011	MAG105
metabat2_refined_bins.tsv.015	MAG106
metabat2_refined_bins.tsv.019	MAG107
metabat2_refined_bins.tsv.024	MAG108
metabat2_refined_bins.tsv.026	MAG109
metabat2_refined_bins.tsv.027_sub	MAG110
metabat2_refined_bins.tsv.028	MAG111
metabat2_refined_bins.tsv.030	MAG112
metabat2_refined_bins.tsv.031	MAG113
metabat2_refined_bins.tsv.035_sub	MAG114
metabat2_refined_bins.tsv.037_sub	MAG115
metabat2_refined_bins.tsv.044_sub	MAG116
metabat_sens_bins.tsv.011_sub	MAG117
metabat_sens_bins.tsv.012_sub	MAG118
metabat_sspec_bins.tsv.003	MAG119
metabat_sspec_bins.tsv.006	MAG120
metabat_sspec_bins.tsv.011_sub	MAG121
metabat_sspec_bins.tsv.015_sub	MAG122
rosella_refined_bins.tsv.004_sub	MAG123
rosella_refined_bins.tsv.034_sub	MAG124
rosella_refined_bins.tsv.060	MAG125
rosella_refined_bins.tsv.068_sub	MAG126
rosella_refined_bins.tsv.072	MAG127
semibin_refined_bins.tsv.001	MAG128
semibin_refined_bins.tsv.004	MAG129
semibin_refined_bins.tsv.008_sub	MAG130
semibin_refined_bins.tsv.011	MAG131
semibin_refined_bins.tsv.012_sub	MAG132
semibin_refined_bins.tsv.021_sub	MAG133
semibin_refined_bins.tsv.023	MAG134
semibin_refined_bins.tsv.029_sub	MAG135
semibin_refined_bins.tsv.042	MAG136
semibin_refined_bins.tsv.048_sub	MAG137
semibin_refined_bins.tsv.054_sub	MAG138
rosella_dastool_refined_1_1	MAG139
rosella_dastool_refined_1_2	MAG140
rosella_dastool_refined_1_3	MAG141
rosella_dastool_refined_1_4	MAG142
rosella_dastool_refined_1_5	MAG143
rosella_dastool_refined_1_6	MAG144
rosella_dastool_refined_1_7	MAG145
rosella_dastool_refined_1_8	MAG146
rosella_dastool_refined_1_unbinned	MAG147
