Bin Id	MAG
metabat2_refined_bins.tsv.006_sub	MAG201
metabat2_refined_bins.tsv.009_sub	MAG202
metabat2_refined_bins.tsv.015_sub	MAG203
metabat2_refined_bins.tsv.020	MAG204
metabat2_refined_bins.tsv.022	MAG205
metabat2_refined_bins.tsv.024	MAG206
metabat2_refined_bins.tsv.037	MAG207
metabat2_refined_bins.tsv.038_sub	MAG208
metabat2_refined_bins.tsv.039	MAG209
metabat2_refined_bins.tsv.041	MAG210
metabat2_refined_bins.tsv.045_sub	MAG211
metabat2_refined_bins.tsv.046	MAG212
metabat2_refined_bins.tsv.049	MAG213
metabat_sens_bins.tsv.002_sub	MAG214
metabat_sens_bins.tsv.006	MAG215
metabat_sens_bins.tsv.011_sub	MAG216
metabat_sens_bins.tsv.025_sub	MAG217
metabat_sens_bins.tsv.026_sub	MAG218
metabat_sens_bins.tsv.029	MAG219
metabat_ssens_bins.tsv.022_sub	MAG220
metabat_sspec_bins.tsv.001_sub	MAG221
metabat_sspec_bins.tsv.021_sub	MAG222
metabat_sspec_bins.tsv.028_sub	MAG223
metabat_sspec_bins.tsv.032	MAG224
rosella_refined_bins.tsv.005_sub	MAG225
rosella_refined_bins.tsv.009	MAG226
rosella_refined_bins.tsv.039	MAG227
rosella_refined_bins.tsv.044	MAG228
rosella_refined_bins.tsv.052_sub	MAG229
rosella_refined_bins.tsv.056_sub	MAG230
rosella_refined_bins.tsv.058_sub	MAG231
rosella_refined_bins.tsv.059	MAG232
rosella_refined_bins.tsv.069_sub	MAG233
rosella_refined_bins.tsv.078	MAG234
rosella_refined_bins.tsv.086	MAG235
rosella_refined_bins.tsv.088	MAG236
rosella_refined_bins.tsv.097_sub	MAG237
semibin_refined_bins.tsv.009_sub	MAG238
semibin_refined_bins.tsv.017_sub	MAG239
semibin_refined_bins.tsv.027	MAG240
semibin_refined_bins.tsv.031_sub	MAG241
