transcript_id	S2C30_1	S2C30_2	S2C30_3	S2Glc_1	S2Glc_2	S2Glc_3
MAG23038_contig_135_4	0.48428252240703734	0.43712118438419423	-0.7606655092970285	-1.1503593578498108	-8.133304437493711	0.47062536329183585
MAG23038_contig_135_5	4.488277196608551	4.9350872392335505	4.379697197769376	-7.764672190479766	-0.3418863381450622	-0.5436795610167051
MAG23017_contig_797_25	-6.537146069229224	-6.150014187074617	-5.22742175620587	-7.044643095246365	-6.486527850390751	-6.494219613392628
MAG23017_contig_699_3	-5.528689740139789	-5.14972735471801	-5.802728411790512	-4.007878969810844	-7.384685500936318	-4.498824423948834
MAG23017_contig_699_5	4.41225989340332	4.406631903437665	4.032047931620686	7.228356954201049	6.084230131157173	6.883180903173286
MAG23017_contig_699_6	-0.3902223481757176	-1.60345905841589	1.2911732784391814	-7.283751891045128	-1.1957878028775113	1.1001770493571081
MAG23017_contig_699_7	-3.19666052867677	-3.2985449818937913	-2.5784217438260915	-3.727872630015281	-5.968952673506613	-1.9670077127268495
MAG23017_contig_699_8	-2.0252886184097334	-6.890098348450925	-5.299266268375484	-5.116440489781765	-5.037684048063589	-1.8361870005289314
MAG23017_contig_699_9	-1.5248777527714201	-1.1680481944747134	-1.1979275815065646	-6.186532918777164	-1.6538952257868749	-0.5606130316702208
MAG23017_contig_699_12	-2.041761620437169	-2.008873841078819	-2.311656689872884	-4.500537879387769	-4.424972750779283	-1.780943646175632
MAG23017_contig_699_14	-3.5650004621071263	-3.191932974564124	-7.0263171048826	-4.233525940694638	-4.154583014000712	-2.542920579231127
MAG23017_contig_699_15	-4.358362233221505	-4.981409121603636	-4.047169069175517	-7.061185873964595	-5.350980226804216	-5.331458206705267
MAG23017_contig_699_16	-7.471643492935466	-6.285911250640926	-3.994532747944642	-5.380455145543028	-7.633288472145925	-4.27998987034835
MAG23017_contig_699_18	-6.827862425339016	-5.620948687804947	-6.285808827618635	-5.031734918241104	-5.9498853484873155	-5.9636758845568325
MAG23017_contig_699_21	-7.041650613691504	-6.486550989161033	-3.764032817277335	-2.697714878010645	-2.624794824681295	-1.5197721092657082
MAG23017_contig_699_27	-6.060622477426016	-5.565858268679009	-5.3276814779922885	-5.096979011471297	-6.492502765530031	-5.015147908033937
MAG23017_contig_699_32	-6.2934834158675494	-6.903070208272167	-5.569076763278111	-7.310537799533359	-6.2285085444016	-3.9231902848822746
MAG23017_contig_662_5	-2.947361527834629	-4.323414836582959	-3.850878015789976	-7.0558134594202375	-7.401885135636817	-4.666074387306209
MAG23017_contig_662_16	-5.711696724947909	-6.299792541729921	-4.986252766838396	-5.768249103238549	-7.16366514626987	-5.678977047324562
MAG23017_contig_843_4	-2.3310821212439508	-4.409124963758114	-2.895233950683709	-6.832063532764982	-4.763421419454557	-2.4346211945155436
MAG23017_contig_843_10	-4.637504301477012	-4.27493701501162	-2.910404226483673	-3.7543845942017997	-8.227334118889006	-3.6301045266793186
MAG23017_contig_843_11	-2.0525418007558556	-3.2749342220923037	-2.3254453412994316	-4.754386541162611	-6.695984535720898	-2.308180004318154
MAG23017_contig_843_15	-3.78454454919905	-4.61563360889335	-5.06023601972215	-6.020232762288015	-8.51494426041159	-5.220132815415886
MAG23017_contig_843_16	0.6543072141054188	-2.4526804783112643	-0.23939750849083632	-2.9878404162459336	-7.965169447039429	-1.2414000411737536
MAG23017_contig_843_17	-5.040838798012978	-6.10753258544586	-4.57915954889734	-6.654628515713103	-7.433880853428884	-5.58207308109062
MAG23017_contig_843_18	-7.524324708545816	-6.133208154087799	-6.438490913193661	-6.538406064978212	-5.871286391115367	-4.8898281486116275
MAG23017_contig_843_19	-2.150029554703183	-1.7192669352665928	-1.4243701177039334	-7.8551108677746315	-2.244575701426423	-0.6159236611262215
MAG23017_contig_32_10	-7.682520317941833	-7.290980175168796	-5.9582299485238135	-7.694815873117292	-7.61258804660208	-5.31035803322498
MAG23017_contig_1323_26	-6.8426533939467244	-6.243525935787529	-6.633697487156001	-6.659875032108807	-5.578325236491283	-6.587383642218511
MAG23017_contig_1323_32	-2.924453677841464	-6.965986784524258	-3.684458809844424	-5.787555669009035	-7.426334321557126	-4.698765432561797
MAG23017_contig_1151_49	-1.8798551218036963	-0.5375518453299577	-5.737936393351788	-3.069258121502492	-7.778254162548734	-2.903079704909493
MAG23017_contig_1151_50	-6.637794137002573	-4.58862929367798	-6.451996309959243	-3.4690870656524613	-6.666088390787268	-2.6195099124646015
MAG23017_contig_1151_58	-2.079593880493071	-5.7300820869465765	-2.2898836907720974	-2.0593566279796116	-7.394315079231324	-2.0883590331671313
MAG23017_contig_1260_8	-7.369264125816034	-6.978607149610127	-6.059923178744396	-6.385289025283407	-7.574695437106895	-7.320495344767181
MAG23017_contig_1260_28	-3.8712082755049293	-3.9687493627985706	-6.953877221533757	-6.706252663147066	-7.999417894725266	-3.8270291922033084
MAG23017_contig_1260_34	-4.52432404455529	-6.133208154087799	-5.4780664229456795	-5.538406064978212	-7.4562480473208215	-5.474790649332784
