transcript_id	.y.	group1	group2	n1	n2	statistic	df	p
MAG101_contig_485_1080	tpm	Glc	PELW	3	3	-29.869260891626812	2	0.00112
MAG101_contig_485_1338	tpm	Glc	PELW	3	3	4.615078840870478	2	0.0439
MAG101_contig_485_1876	tpm	Glc	PELW	3	3	4.548378373429302	2	0.0451
MAG101_contig_485_2080	tpm	Glc	PELW	3	3	0.5800617361647248	2	0.621
MAG101_contig_485_2262	tpm	Glc	PELW	3	3	-6.197763729962199	2	0.0251
MAG101_contig_485_2263	tpm	Glc	PELW	3	3	-7.9803968319457255	2	0.0153
MAG101_contig_485_2772	tpm	Glc	PELW	3	3	-21.64450948929165	2	0.00213
MAG101_contig_485_3025	tpm	Glc	PELW	3	3	-0.9209842842428128	2	0.454
MAG101_contig_485_3070	tpm	Glc	PELW	3	3	-1.8469884681940532	2	0.206
MAG101_contig_485_3569	tpm	Glc	PELW	3	3	-4.352243424836354	2	0.0489
MAG101_contig_485_359	tpm	Glc	PELW	3	3	-0.9315348824128755	2	0.45
MAG101_contig_485_3615	tpm	Glc	PELW	3	3	1.7095933102429506	2	0.229
MAG101_contig_485_617	tpm	Glc	PELW	3	3	-3.1471258305422305	2	0.0879
MAG101_contig_485_642	tpm	Glc	PELW	3	3	-6.4885893319792185	2	0.0229
MAG101_contig_485_844	tpm	Glc	PELW	3	3	1.753975209381887	2	0.222
MAG101_contig_485_912	tpm	Glc	PELW	3	3	1.0662780925955055	2	0.398
MAG101_contig_485_924	tpm	Glc	PELW	3	3	-1.1930689522137092	2	0.355
MAG102_contig_70_1	tpm	Glc	PELW	3	3	1.5190856178994896	2	0.268
MAG102_contig_70_10	tpm	Glc	PELW	3	3	2.4444504954199	2	0.134
MAG102_contig_70_100	tpm	Glc	PELW	3	3	-3.480000391453271	2	0.0736
MAG102_contig_70_1000	tpm	Glc	PELW	3	3	0.8349921614837572	2	0.492
MAG102_contig_70_1001	tpm	Glc	PELW	3	3	1.9666050119100844	2	0.188
MAG102_contig_70_1002	tpm	Glc	PELW	3	3	2.0546958051635595	2	0.176
MAG102_contig_70_1003	tpm	Glc	PELW	3	3	1.4526851996049275	2	0.283
MAG102_contig_70_1005	tpm	Glc	PELW	3	3	-1.167141386855091	2	0.363
MAG102_contig_70_1006	tpm	Glc	PELW	3	3	2.307954423461489	2	0.147
