transcript_id	.y.	group1	group2	n1	n2	statistic	df	p
MAG23001_contig_1_1019	tpm	C30	Glc	3	3	19.860463679283367	2	0.00253
MAG23001_contig_1_1068	tpm	C30	Glc	3	3	5.34017715228875	2	0.0333
MAG23001_contig_1_1080	tpm	C30	Glc	3	3	5.063864701301747	2	0.0369
MAG23001_contig_1_1098	tpm	C30	Glc	3	3	5.523203208707424	2	0.0313
MAG23001_contig_1_1107	tpm	C30	Glc	3	3	5.9443399711421225	2	0.0272
MAG23001_contig_1_1113	tpm	C30	Glc	3	3	3.967584028717296	2	0.058
MAG23001_contig_1_1125	tpm	C30	Glc	3	3	2.902551010571529	2	0.101
MAG23001_contig_1_1128	tpm	C30	Glc	3	3	8.5788363793643	2	0.0133
MAG23001_contig_1_114	tpm	C30	Glc	3	3	6.295841145531652	2	0.0243
MAG23001_contig_1_1153	tpm	C30	Glc	3	3	5.503584446822128	2	0.0315
MAG23001_contig_1_1194	tpm	C30	Glc	3	3	9.076549999426945	2	0.0119
MAG23001_contig_1_1231	tpm	C30	Glc	3	3	1.9624319679274111	2	0.189
MAG23001_contig_1_1237	tpm	C30	Glc	3	3	1.8820317501726394	2	0.201
MAG23001_contig_1_1344	tpm	C30	Glc	3	3	3.439101887435557	2	0.0751
MAG23001_contig_1_1370	tpm	C30	Glc	3	3	3.507029939004226	2	0.0726
MAG23001_contig_1_1371	tpm	C30	Glc	3	3	3.4625423683614156	2	0.0742
MAG23001_contig_1_1382	tpm	C30	Glc	3	3	10.165920047067257	2	0.00954
MAG23001_contig_1_1383	tpm	C30	Glc	3	3	0.4025412748433045	2	0.726
MAG23001_contig_1_1386	tpm	C30	Glc	3	3	12.516703580961673	2	0.00632
MAG23001_contig_1_1387	tpm	C30	Glc	3	3	65.29357490415697	2	2.34e-4
MAG23001_contig_1_1389	tpm	C30	Glc	3	3	6.782665341504758	2	0.0211
MAG23001_contig_1_1392	tpm	C30	Glc	3	3	5.131103597894725	2	0.0359
MAG23001_contig_1_1395	tpm	C30	Glc	3	3	-6.405543531686035	2	0.0235
MAG23001_contig_1_1396	tpm	C30	Glc	3	3	2.8747702597667923	2	0.103
MAG23001_contig_1_1401	tpm	C30	Glc	3	3	0.8770634722922707	2	0.473
MAG23001_contig_1_1411	tpm	C30	Glc	3	3	2.935197293679695	2	0.0991
MAG23001_contig_1_1414	tpm	C30	Glc	3	3	3.1240708091395395	2	0.089
MAG23001_contig_1_1442	tpm	C30	Glc	3	3	14.59747625632955	2	0.00466
MAG23001_contig_1_147	tpm	C30	Glc	3	3	-0.46025357503777115	2	0.691
MAG23001_contig_1_15	tpm	C30	Glc	3	3	1.1658492548436876	2	0.364
MAG23001_contig_1_1502	tpm	C30	Glc	3	3	1.0646923453293498	2	0.399
MAG23001_contig_1_151	tpm	C30	Glc	3	3	5.024449621662266	2	0.0374
MAG23001_contig_1_1527	tpm	C30	Glc	3	3	20.21122116874372	2	0.00244
MAG23001_contig_1_1554	tpm	C30	Glc	3	3	5.304603744890746	2	0.0337
MAG23001_contig_1_1563	tpm	C30	Glc	3	3	-20.201150948577137	2	0.00244
MAG23001_contig_1_158	tpm	C30	Glc	3	3	1.8066939612045323	2	0.213
MAG23001_contig_1_1587	tpm	C30	Glc	3	3	-1.1353542058396822	2	0.374
MAG23001_contig_1_1600	tpm	C30	Glc	3	3	-3.948428222680645	2	0.0586
MAG23001_contig_1_1602	tpm	C30	Glc	3	3	4.836075077658653	2	0.0402
MAG23001_contig_1_1628	tpm	C30	Glc	3	3	5.369726003011595	2	0.033
MAG23001_contig_1_1639	tpm	C30	Glc	3	3	12.663448807677156	2	0.00618
MAG23001_contig_1_1664	tpm	C30	Glc	3	3	2.1357229730602674	2	0.166
MAG23001_contig_1_1665	tpm	C30	Glc	3	3	-3.187997646026887	2	0.0859
MAG23001_contig_1_1673	tpm	C30	Glc	3	3	4.807631392108221	2	0.0406
MAG23001_contig_1_1702	tpm	C30	Glc	3	3	4.733332846219908	2	0.0419
MAG23001_contig_1_1728	tpm	C30	Glc	3	3	0.7218214298428809	2	0.545
MAG23001_contig_1_1731	tpm	C30	Glc	3	3	-3.180985827089056	2	0.0862
MAG23001_contig_1_1751	tpm	C30	Glc	3	3	4.949311343052476	2	0.0385
MAG23001_contig_1_1752	tpm	C30	Glc	3	3	5.537424172098163	2	0.0311
MAG23001_contig_1_177	tpm	C30	Glc	3	3	7.000353411065604	2	0.0198
MAG23001_contig_1_1800	tpm	C30	Glc	3	3	39.492265126610974	2	6.41e-4
MAG23001_contig_1_1803	tpm	C30	Glc	3	3	10.270221821169146	2	0.00935
MAG23001_contig_1_1813	tpm	C30	Glc	3	3	-0.37350430142353425	2	0.745
MAG23001_contig_1_1814	tpm	C30	Glc	3	3	37.347430611807866	2	7.16e-4
