protein	annotation	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	C30_planktonic_1 Spectral Count	C30_planktonic_2 Spectral Count	C30_planktonic_3 Spectral Count	C30_secreted_1 Spectral Count	C30_secreted_2 Spectral Count	C30_secreted_3 Spectral Count	LMWPE_biofilm_1 Spectral Count	LMWPE_biofilm_2 Spectral Count	LMWPE_biofilm_3 Spectral Count	LMWPE_planktonic_1 Spectral Count	LMWPE_planktonic_2 Spectral Count	LMWPE_planktonic_3 Spectral Count	LMWPE_secreted_1 Spectral Count	LMWPE_secreted_2 Spectral Count	LMWPE_secreted_3 Spectral Count	Succinate_planktonic_1 Spectral Count	Succinate_planktonic_2 Spectral Count	Succinate_planktonic_3 Spectral Count	C30_planktonic_1 Unique Spectral Count	C30_planktonic_2 Unique Spectral Count	C30_planktonic_3 Unique Spectral Count	C30_secreted_1 Unique Spectral Count	C30_secreted_2 Unique Spectral Count	C30_secreted_3 Unique Spectral Count	LMWPE_biofilm_1 Unique Spectral Count	LMWPE_biofilm_2 Unique Spectral Count	LMWPE_biofilm_3 Unique Spectral Count	LMWPE_planktonic_1 Unique Spectral Count	LMWPE_planktonic_2 Unique Spectral Count	LMWPE_planktonic_3 Unique Spectral Count	LMWPE_secreted_1 Unique Spectral Count	LMWPE_secreted_2 Unique Spectral Count	LMWPE_secreted_3 Unique Spectral Count	Succinate_planktonic_1 Unique Spectral Count	Succinate_planktonic_2 Unique Spectral Count	Succinate_planktonic_3 Unique Spectral Count	C30_planktonic_1 Total Spectral Count	C30_planktonic_2 Total Spectral Count	C30_planktonic_3 Total Spectral Count	C30_secreted_1 Total Spectral Count	C30_secreted_2 Total Spectral Count	C30_secreted_3 Total Spectral Count	LMWPE_biofilm_1 Total Spectral Count	LMWPE_biofilm_2 Total Spectral Count	LMWPE_biofilm_3 Total Spectral Count	LMWPE_planktonic_1 Total Spectral Count	LMWPE_planktonic_2 Total Spectral Count	LMWPE_planktonic_3 Total Spectral Count	LMWPE_secreted_1 Total Spectral Count	LMWPE_secreted_2 Total Spectral Count	LMWPE_secreted_3 Total Spectral Count	Succinate_planktonic_1 Total Spectral Count	Succinate_planktonic_2 Total Spectral Count	Succinate_planktonic_3 Total Spectral Count	C30_planktonic_1 Intensity	C30_planktonic_2 Intensity	C30_planktonic_3 Intensity	C30_secreted_1 Intensity	C30_secreted_2 Intensity	C30_secreted_3 Intensity	LMWPE_biofilm_1 Intensity	LMWPE_biofilm_2 Intensity	LMWPE_biofilm_3 Intensity	LMWPE_planktonic_1 Intensity	LMWPE_planktonic_2 Intensity	LMWPE_planktonic_3 Intensity	LMWPE_secreted_1 Intensity	LMWPE_secreted_2 Intensity	LMWPE_secreted_3 Intensity	Succinate_planktonic_1 Intensity	Succinate_planktonic_2 Intensity	Succinate_planktonic_3 Intensity	C30_planktonic_1 MaxLFQ Intensity	C30_planktonic_2 MaxLFQ Intensity	C30_planktonic_3 MaxLFQ Intensity	C30_secreted_1 MaxLFQ Intensity	C30_secreted_2 MaxLFQ Intensity	C30_secreted_3 MaxLFQ Intensity	LMWPE_biofilm_1 MaxLFQ Intensity	LMWPE_biofilm_2 MaxLFQ Intensity	LMWPE_biofilm_3 MaxLFQ Intensity	LMWPE_planktonic_1 MaxLFQ Intensity	LMWPE_planktonic_2 MaxLFQ Intensity	LMWPE_planktonic_3 MaxLFQ Intensity	LMWPE_secreted_1 MaxLFQ Intensity	LMWPE_secreted_2 MaxLFQ Intensity	LMWPE_secreted_3 MaxLFQ Intensity	Succinate_planktonic_1 MaxLFQ Intensity	Succinate_planktonic_2 MaxLFQ Intensity	Succinate_planktonic_3 MaxLFQ Intensity	Indistinguishable Proteins
MAG107_contig_30_1000	"MAG107_contig_30_1000 rank: C; glycerophosphoryl diester phosphodiesterase [EC:3.1.4.46] (db=kegg)"	"MAG107_contig_30_1000 rank: C; glycerophosphoryl diester phosphodiesterase [EC:3.1.4.46] (db=kegg)"		240			"MAG107_contig_30_1000 rank: C; glycerophosphoryl diester phosphodiesterase [EC:3.1.4.46] (db=kegg)"	1.0	0.999	11	225	225	225	1	0	0	0	0	0	18	21	16	11	11	14	3	12	14	35	30	36	1	0	0	0	0	0	18	21	16	11	11	14	3	12	14	35	30	36	1	0	0	0	0	0	18	21	16	11	11	14	3	12	14	35	30	36	34361.586	0.0	0.0	0.0	0.0	0.0	277494.34	298363.1	204777.7	158703.08	162924.61	267285.53	60926.902	247110.52	304236.5	577904.5	575131.25	612447.2	0.0	0.0	0.0	0.0	0.0	0.0	76188.266	83959.84	73750.94	60472.562	59734.418	69744.88	88228.875	94933.41	102735.5	97178.23	116283.55	114984.51	
MAG107_contig_30_1001	"MAG107_contig_30_1001 rank: C; stearoyl-CoA desaturase (Delta-9 desaturase) [EC:1.14.19.1] (db=kegg)"	"MAG107_contig_30_1001 rank: C; stearoyl-CoA desaturase (Delta-9 desaturase) [EC:1.14.19.1] (db=kegg)"		387			"MAG107_contig_30_1001 rank: C; stearoyl-CoA desaturase (Delta-9 desaturase) [EC:1.14.19.1] (db=kegg)"	0.9998	0.999	3	16	16	16	0	0	0	1	2	1	2	2	2	0	0	1	0	0	0	1	0	3	0	0	0	1	2	1	2	2	2	0	0	1	0	0	0	1	0	3	0	0	0	1	2	1	2	2	2	0	0	1	0	0	0	1	0	3	0.0	0.0	0.0	26899.793	84747.34	36135.0	28938.938	28022.012	35213.996	0.0	0.0	3811.7092	0.0	0.0	0.0	19456.244	0.0	30230.88	0.0	0.0	0.0	0.0	91199.36	0.0	19715.168	19607.916	19035.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21087.35	
MAG107_contig_30_1002	MAG107_contig_30_1002 rank: E	MAG107_contig_30_1002 rank: E		109			MAG107_contig_30_1002 rank: E	1.0	0.999	6	211	211	211	5	5	1	4	2	6	13	10	8	12	9	9	24	19	28	12	13	23	5	5	1	4	2	6	13	10	8	12	9	9	24	19	28	12	13	23	5	5	1	4	2	6	13	10	8	12	9	9	24	19	28	12	13	23	143047.45	152921.88	153801.81	265337.62	178604.02	195125.84	351040.84	281387.9	234000.69	429289.47	260013.92	218162.0	1310701.6	1251591.2	1761981.1	646183.1	766106.44	875166.44	143566.16	120724.484	0.0	124472.46	99198.0	79538.32	103342.23	90047.8	82401.09	155682.33	126002.48	104481.87	292609.75	311587.44	332355.4	176560.53	204530.84	246122.0	
MAG107_contig_30_1003	"MAG107_contig_30_1003 rank: C; protein adenylyltransferase [EC:2.7.7.108] (db=kegg)"	"MAG107_contig_30_1003 rank: C; protein adenylyltransferase [EC:2.7.7.108] (db=kegg)"		485			"MAG107_contig_30_1003 rank: C; protein adenylyltransferase [EC:2.7.7.108] (db=kegg)"	1.0	0.999	24	255	255	255	10	8	7	3	4	3	17	21	19	31	28	22	10	4	7	14	17	15	10	8	7	3	4	3	17	21	19	31	28	22	10	4	7	14	17	15	10	8	7	3	4	3	17	21	19	31	28	22	10	4	7	14	17	15	252523.28	294840.88	236714.14	45901.22	43497.82	52980.6	656299.9	765609.4	488624.6	594413.06	708186.1	835632.7	99160.36	270019.0	122759.66	288643.53	1424976.2	289562.03	131740.84	128865.234	126275.086	102586.97	97083.85	111241.875	101083.45	89030.46	90029.695	131291.78	119489.805	98158.91	66520.4	51554.27	97622.49	92150.97	90825.234	96421.29	
MAG107_contig_30_1004	"MAG107_contig_30_1004 rank: D; Immune inhibitor A-like, MAM domain [PF20773.1]; CarboxypepD_reg-like domain [PF13715.10] (db=pfam)"	"MAG107_contig_30_1004 rank: D; Immune inhibitor A-like, MAM domain [PF20773.1]; CarboxypepD_reg-like domain [PF13715.10] (db=pfam)"		534			"MAG107_contig_30_1004 rank: D; Immune inhibitor A-like, MAM domain [PF20773.1]; CarboxypepD_reg-like domain [PF13715.10] (db=pfam)"	1.0	0.999	13	26	26	26	1	0	0	1	3	1	1	0	0	1	0	1	5	1	6	4	0	1	1	0	0	1	3	1	1	0	0	1	0	1	5	1	6	4	0	1	1	0	0	1	3	1	1	0	0	1	0	1	5	1	6	4	0	1	0.0	0.0	0.0	0.0	46519.496	20154.22	350134.8	352940.06	0.0	0.0	302081.2	0.0	85238.89	10908.529	92412.125	28835.148	22836.992	56005.043	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38971.62	0.0	45144.273	0.0	0.0	0.0	
MAG107_contig_30_1005	"MAG107_contig_30_1005 rank: D; L,D-transpeptidase catalytic domain [PF03734.18] (db=pfam)"	"MAG107_contig_30_1005 rank: D; L,D-transpeptidase catalytic domain [PF03734.18] (db=pfam)"		199			"MAG107_contig_30_1005 rank: D; L,D-transpeptidase catalytic domain [PF03734.18] (db=pfam)"	1.0	0.999	9	145	145	145	0	0	0	1	0	0	16	19	14	22	11	13	3	0	2	11	14	11	0	0	0	1	0	0	16	19	14	22	11	13	3	0	2	11	14	11	0	0	0	1	0	0	16	19	14	22	11	13	3	0	2	11	14	11	0.0	0.0	0.0	207663.69	0.0	0.0	269195.28	275028.8	217989.56	126152.39	114498.81	114340.86	31839.15	0.0	69477.4	185145.53	256705.5	196217.67	0.0	0.0	0.0	0.0	0.0	0.0	71029.234	66022.07	59833.8	43365.086	41422.383	38879.93	0.0	0.0	63224.875	60384.527	65251.465	67054.49	
MAG107_contig_30_1006	"MAG107_contig_30_1006 rank: D; YjbR [PF04237.17] (db=pfam)"	"MAG107_contig_30_1006 rank: D; YjbR [PF04237.17] (db=pfam)"		126			"MAG107_contig_30_1006 rank: D; YjbR [PF04237.17] (db=pfam)"	1.0	0.999	7	63	63	63	1	0	0	0	1	1	4	2	2	3	3	2	2	2	2	8	13	16	1	0	0	0	1	1	4	2	2	3	3	2	2	2	2	8	13	16	1	0	0	0	1	1	4	2	2	3	3	2	2	2	2	8	13	16	0.0	0.0	0.0	0.0	0.0	0.0	9076.869	6982.0674	5870.896	22047.102	0.0	10974.954	242143.45	288026.9	304451.0	403098.56	472397.6	543675.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	233546.84	0.0	279195.56	271317.22	280197.94	334643.06	
MAG107_contig_30_1007	"MAG107_contig_30_1007 rank: C; two-component system, OmpR family, response regulator BaeR (db=kegg)"	"MAG107_contig_30_1007 rank: C; two-component system, OmpR family, response regulator BaeR (db=kegg)"		228			"MAG107_contig_30_1007 rank: C; two-component system, OmpR family, response regulator BaeR (db=kegg)"	1.0	0.999	18	1119	1119	1119	48	33	39	28	27	28	79	74	70	76	57	64	48	57	49	79	105	112	48	33	39	28	27	28	79	74	70	76	57	64	48	57	49	79	105	112	48	33	39	28	27	28	79	74	70	76	57	64	48	57	49	79	105	112	4395376.5	4287663.0	2931134.2	1353898.9	896959.0	881673.5	4883296.5	4816910.5	5088101.5	4730220.0	3759004.0	3548395.5	2790409.0	2265097.0	3207956.5	6072951.5	6727851.5	7479786.5	876461.6	873464.25	757597.4	372100.12	264177.75	255999.7	872962.3	866497.75	873761.2	883462.06	747791.44	712611.7	567297.1	443567.16	679323.0	1105217.0	1235483.9	1410435.9	
MAG107_contig_30_1008	"MAG107_contig_30_1008 rank: C; two-component system, OmpR family, sensor histidine kinase BaeS [EC:2.7.13.3] (db=kegg)"	"MAG107_contig_30_1008 rank: C; two-component system, OmpR family, sensor histidine kinase BaeS [EC:2.7.13.3] (db=kegg)"		584			"MAG107_contig_30_1008 rank: C; two-component system, OmpR family, sensor histidine kinase BaeS [EC:2.7.13.3] (db=kegg)"	1.0	0.999	24	354	354	354	2	2	0	2	9	8	34	31	34	41	39	50	2	0	0	21	25	22	2	2	0	2	9	8	34	31	34	41	39	50	2	0	0	21	25	22	2	2	0	2	9	8	34	31	34	41	39	50	2	0	0	21	25	22	84416.81	51414.77	0.0	69253.89	156852.66	232396.5	594747.56	678849.94	617500.94	980769.56	787919.3	907676.1	123283.63	0.0	0.0	345138.7	224504.27	258552.36	81619.2	0.0	0.0	120682.55	111891.85	129137.74	67579.19	57289.46	67799.14	101225.29	92386.945	95305.9	302113.34	0.0	0.0	50279.69	47134.273	39788.023	
MAG107_contig_30_1009	MAG107_contig_30_1009 rank: E	MAG107_contig_30_1009 rank: E		206			MAG107_contig_30_1009 rank: E	1.0	0.999	5	251	251	251	9	4	9	13	17	13	6	18	10	24	20	14	24	11	23	6	7	6	9	4	9	13	17	13	6	18	10	24	20	14	24	11	23	6	7	6	9	4	9	13	17	13	6	18	10	24	20	14	24	11	23	6	7	6	537741.06	307235.62	309384.44	571182.4	490227.25	354417.75	114944.06	245802.53	149713.03	407893.16	518428.3	485736.78	632563.25	455858.94	746220.06	125239.484	94040.15	125612.66	278001.22	185806.33	167128.3	302656.38	277666.53	268318.12	71392.016	117983.336	76483.51	239872.42	258406.23	247428.27	336572.8	280024.5	393517.72	76352.48	64217.375	78834.17	
